sample	good	bad	good_ids
ERR1913075	6	9	1313.35737, 28117.3445, 592028.575, 310298.435, 1203611.48, 40518.2819
ERR1913080	6	12	1680.2080, 1262684.320, 40518.2823, 1945593.1764, 371601.807, 1262924.342
ERR1913082	7	8	1680.2079, 1872444.1202, 286142.25, 1262924.343, 1262976.205, 1262684.318, 40518.2820
ERR1913083	8	8	1680.2078, 286142.26, 1945593.1763, 40518.2821, 1262684.319, 1872444.1203, 1262924.341, 371601.806
ERR1913088	7	14	1929996.74, 218538.1142, 286133.213, 820.5421, 28117.3447, 905011.47, 1637511.687
ERR1913094	1	14	1262821.45
ERR1913095	4	16	1897003.1350, 33043.1639, 165179.2685, 159272.1048
ERR1913096	3	9	1263080.338, 1262914.856, 820.5423
ERR1913097	7	6	357276.1228, 1262914.855, 820.5422, 1263080.337, 1268240.127, 371601.809, 674529.261
ERR1913098	6	6	1263080.339, 1262914.857, 2053618.173, 820.5424, 371601.811, 1268240.128
ERR1913099	7	5	357276.1231, 820.5425, 1262914.858, 1263080.340, 2053618.174, 371601.812, 674529.263
ERR1913104	11	8	823.3646, 357276.1233, 1263043.67, 820.5427, 162156.401, 1897003.1352, 166486.973, 40518.2826, 1897004.310, 384639.31, 1897017.249
ERR1913105	9	10	820.5426, 823.3645, 162156.402, 1263043.66, 1896972.71, 357276.1232, 1897003.1351, 166486.974, 384639.30
