genome1	genome2	Parkinsons Occurrence	Control Occurrence
1034345.3	 1262811.3	 0.0	 50.0
1034345.3	 28121.23	 0.0	 100.0
1034345.3	 33953.3	 0.0	 50.0
1034345.3	 41978.527	 50.0	 0.0
1035197.3	 221953.5	 61.53846153846154	 21.05263157894737
1035197.3	 2292032.3	 85.71428571428571	 0.0
1035197.3	 77095.16	 100.0	 0.0
1110693.11	 1917873.3	 12.5	 50.0
1110693.11	 411467.62	 0.0	 66.66666666666667
1110693.11	 862515.4	 57.142857142857146	 0.0
1122957.3	 1945593.20	 75.55555555555556	 37.5
1125712.3	 2003188.3	 50.0	 0
1127699.3	 162156.251	 57.142857142857146	 20.0
1127699.3	 59620.1681	 85.71428571428571	 0.0
114712.4	 142586.28	 51.42857142857143	 19.607843137254903
114712.4	 592028.3	 51.61290322580645	 21.951219512195124
116085.6	 59620.1644	 66.66666666666667	 0.0
116085.6	 59620.2302	 100.0	 0.0
116085.6	 626940.1050	 100.0	 0.0
1161942.51	 41978.528	 50.0	 8.333333333333334
1161942.51	 437897.442	 72.72727272727273	 0.0
1262793.3	 2173.813	 53.333333333333336	 0.0
1262793.3	 286133.70	 66.66666666666667	 18.181818181818183
1262795.3	 862515.4	 0.0	 57.142857142857146
1262811.3	 28121.23	 0.0	 50.0
1262827.3	 522695.6	 0.0	 50.0
1262827.3	 59620.1571	 0	 50.0
1262855.3	 420969.3	 0.0	 100.0
1262855.3	 59620.2292	 0.0	 100.0
1262866.3	 165186.1258	 50.0	 44.44444444444444
1262866.3	 420969.3	 50.0	 0.0
1297617.123	 1917873.3	 72.72727272727273	 0.0
1297617.123	 293422.45	 66.66666666666667	 0.0
1297617.123	 59620.2275	 50.0	 0
1314.2925	 310297.42	 57.142857142857146	 0.0
1384484.3	 33953.3	 100.0	 0.0
1384484.3	 357809.8	 66.66666666666667	 0.0
1384484.3	 59620.42	 100.0	 0.0
1410610.3	 1872090.16	 0	 50.0
142586.1763	 349741.6	 55.81395348837209	 24.489795918367346
142586.1763	 512298.34	 55.81395348837209	 11.764705882352942
142586.28	 2049040.8	 63.829787234042556	 30.76923076923077
142586.28	 349741.6	 58.58585858585859	 12.698412698412698
142586.28	 821.555	 65.67164179104478	 24.271844660194176
154288.73	 479436.6	 0	 100.0
154288.73	 727.2899	 0	 66.66666666666667
1577791.3	 59620.2275	 50.0	 0
159272.379	 522695.6	 57.142857142857146	 0.0
162156.251	 59620.2344	 57.142857142857146	 0.0
1627894.4	 1637502.3	 5.714285714285714	 73.88059701492537
1627894.4	 166486.64	 21.05263157894737	 54.85232067510549
1627894.4	 1945593.20	 34.48275862068966	 63.96761133603239
1627894.4	 2049040.8	 45.23809523809524	 83.22147651006712
1627894.4	 2364787.3	 52.42718446601942	 92.6829268292683
1627894.4	 40518.2684	 36.58536585365854	 61.29032258064516
1627894.4	 487174.266	 16.0	 70.49808429118774
1627894.4	 821.555	 54.83870967741935	 95.97701149425288
1627894.4	 853.7373	 44.680851063829785	 73.91304347826087
1637502.3	 1945593.20	 0.0	 60.773480662983424
1637502.3	 2049040.8	 3.9215686274509802	 68.96551724137932
1637502.3	 2053632.4	 100.0	 1.9230769230769231
1637502.3	 2364787.3	 2.857142857142857	 76.33587786259542
1637502.3	 40518.2684	 4.081632653061225	 50.54945054945055
1637502.3	 487174.266	 11.764705882352942	 62.56410256410256
1637502.3	 821.555	 2.197802197802198	 70.92198581560284
1637502.3	 853.7373	 3.278688524590164	 69.52380952380952
165186.1235	 1945593.1533	 60.0	 0.0
165186.1235	 59620.1704	 50.0	 0.0
165186.1247	 59620.1571	 0	 66.66666666666667
165186.1258	 28121.23	 60.0	 0.0
165186.1258	 420969.3	 100.0	 0.0
165186.1258	 59620.2335	 0.0	 57.142857142857146
166486.64	 2049040.8	 30.136986301369863	 61.691542288557216
166486.64	 2364787.3	 28.26086956521739	 54.54545454545455
166486.64	 40518.2684	 36.61971830985915	 59.602649006622514
166486.64	 821.555	 35.39823008849557	 55.776892430278885
166486.64	 853.7373	 33.734939759036145	 55.865921787709496
1673720.3	 1871035.3	 0	 66.66666666666667
167967.11	 28121.23	 60.0	 0.0
167967.11	 522695.6	 0.0	 50.0
1685.598	 2292318.3	 69.23076923076923	 26.08695652173913
1917873.3	 2302948.3	 0.0	 54.54545454545455
1917873.3	 293422.45	 60.0	 0.0
1935179.4	 41978.528	 59.45945945945946	 15.384615384615385
1935179.4	 553171.3	 13.333333333333334	 50.90909090909091
1935179.4	 59620.1673	 7.6923076923076925	 51.16279069767442
1945593.1533	 487174.266	 0.0	 51.470588235294116
1945593.20	 2049040.8	 32.432432432432435	 63.507109004739334
1945593.20	 2364787.3	 38.70967741935484	 61.41078838174274
1945593.20	 40518.2684	 19.444444444444443	 55.900621118012424
1945593.20	 487174.266	 15.0	 62.06896551724138
1945593.20	 821.555	 33.333333333333336	 61.30268199233716
1945593.20	 853.7373	 40.476190476190474	 60.317460317460316
1965550.3	 2364787.3	 53.608247422680414	 35.35353535353536
1965550.3	 40518.2684	 39.473684210526315	 50.847457627118644
1965550.3	 487174.266	 50.0	 36.6412213740458
1981510.4	 33953.3	 0.0	 50.0
2003188.3	 59620.2344	 57.142857142857146	 0
2049040.8	 2364787.3	 47.05882352941177	 81.5068493150685
2049040.8	 2583230.3	 39.436619718309856	 51.36612021857923
2049040.8	 39486.13	 26.41509433962264	 50.26737967914438
2049040.8	 40518.2684	 55.10204081632653	 68.86792452830188
2049040.8	 487174.266	 21.21212121212121	 60.44444444444444
2049040.8	 821.555	 67.14285714285714	 83.97435897435898
2049040.8	 853.7373	 52.72727272727273	 79.16666666666667
2173.813	 293422.45	 0.0	 66.66666666666667
2173.813	 59620.1603	 0.0	 66.66666666666667
2173.813	 59620.1625	 50.0	 0.0
221953.5	 2292032.3	 50.0	 0.0
221953.5	 522695.6	 61.53846153846154	 0.0
221953.5	 59620.2286	 51.851851851851855	 8.333333333333334
221953.5	 77095.16	 61.53846153846154	 0.0
2292032.3	 77095.16	 85.71428571428571	 0.0
2292318.3	 2610895.3	 51.282051282051285	 20.689655172413794
2293022.3	 522695.19	 66.66666666666667	 0.0
2293022.3	 59620.2312	 54.54545454545455	 0.0
